pair_id,from_id,to_id,distance_nm,sea_time_h
P01__P02,P01,P02,818.209544661003,58.443538904357354
P01__P03,P01,P03,1651.7158183296938,117.97970130926385
P01__P04,P01,P04,1552.8355462723566,110.91682473373976
P01__P05,P01,P05,681.6391086709435,48.68850776221025
P01__P06,P01,P06,786.6726607956404,56.19090434254574
P01__P07,P01,P07,342.2607075872253,24.44719339908752
P01__P08,P01,P08,728.9689854832286,52.06921324880204
P01__P09,P01,P09,1370.438095518662,97.88843539419015
P01__P10,P01,P10,1392.3984011719444,99.45702865513888
P01__P11,P01,P11,831.41635252644,59.386882323317145
P01__P12,P01,P12,759.9415457551295,54.28153898250925
P01__P13,P01,P13,663.0388548151584,47.35991820108274
P01__P14,P01,P14,481.4599059208255,34.38999328005897
P01__P15,P01,P15,1641.4303371267708,117.24502408048363
P01__P16,P01,P16,954.8048615142832,68.20034725102023
P01__P17,P01,P17,720.0255998343637,51.43039998816884
P01__P18,P01,P18,860.8883817773122,61.49202726980802
P01__P19,P01,P19,623.7373690744835,44.55266921960596
P01__P20,P01,P20,1267.9633545779452,90.5688110412818
P01__P21,P01,P21,82.19834963008967,5.871310687863548
P01__P22,P01,P22,1333.2583694681803,95.23274067629859
P01__P23,P01,P23,1415.034226871068,101.07387334793343
P01__P24,P01,P24,646.8105397521965,46.20075283944261
P01__P25,P01,P25,1759.8283978895404,125.70202842068146
P01__P26,P01,P26,90.5509014916793,6.46792153511995
P01__P27,P01,P27,1850.774172199293,132.19815515709234
P01__P28,P01,P28,1283.9447579380533,91.71033985271809
P01__P29,P01,P29,1542.6177469687102,110.18698192633644
P01__P30,P01,P30,1651.8591007410052,117.98993576721466
P01__P31,P01,P31,1593.8356335085682,113.84540239346916
P01__P32,P01,P32,882.7170879535598,63.05122056811142
P01__P33,P01,P33,728.9689854832286,52.06921324880204
P01__P34,P01,P34,1002.8594056218873,71.63281468727766
P01__P35,P01,P35,915.1089153436872,65.36492252454909
P01__P36,P01,P36,1596.4781586194433,114.0341541871031
P01__P37,P01,P37,1574.7958393226838,112.48541709447741
P01__P38,P01,P38,642.6801344094139,45.9057238863867
P01__P39,P01,P39,271.15925440102046,19.36851817150146
P01__P40,P01,P40,391.9237204962281,27.994551464016293
P02__P01,P02,P01,818.209544661003,58.443538904357354
P02__P03,P02,P03,1083.8331226624464,77.41665161874617
P02__P04,P02,P04,984.9528506051092,70.35377504322209
P02__P05,P02,P05,280.9996802717369,20.071405733695492
P02__P06,P02,P06,175.63907241420276,12.54564802958591
P02__P07,P02,P07,530.8721867892068,37.919441913514774
P02__P08,P02,P08,129.71163820007638,9.26511701429117
P02__P09,P02,P09,802.5553998514149,57.325385703672495
P02__P10,P02,P10,824.5157055046967,58.89397896462119
P02__P11,P02,P11,95.9101097788901,6.8507221270635785
P02__P12,P02,P12,112.41153740632558,8.029395529023256
P02__P13,P02,P13,221.84626180325444,15.846161557375316
P02__P14,P02,P14,373.3274895089875,26.666249250641965
P02__P15,P02,P15,1073.5476414595228,76.68197438996592
P02__P16,P02,P16,523.0205776710468,37.35861269078906
P02__P17,P02,P17,108.53942098475571,7.752815784625407
P02__P18,P02,P18,332.95637958213246,23.78259854158089
P02__P19,P02,P19,288.68868593060245,20.62062042361446
P02__P20,P02,P20,700.0806589106978,50.00576135076413
P02__P21,P02,P21,873.3332215133906,62.380944393813614
